,LPS,NACE (DELETE!),GNFR,E-PRTR/PRTR Facility ID,Height class (TODO),Longitude,Latitude,NOx (as NO2) [kt],NMVOC [kt],SOx (as SO2) [kt],NH3 [kt],PM2.5 [kt],PM10 [kt],CO [kt],Pb [t],Cd [t],Hg [t],PCDD/ PCDF (dioxins/ furans) [g I-Teq],PAHs [t],HCB [kg],PCBs [kg]
1138,Smits GmbH,147: Raising of poultry,,06-05-154-9004580,,6.16676415224422,51.576751003132,,,,0.024,,,,,,,,,,
1139,Smurfit Kappa Hoya Papier und Karton GmbH,1712: Manufacture of paper and paperboard,B_Industry,03-06-06277201660,,9.15020224784863,52.8113798709016,,,,,,,,,,,,,,
1140,Smurfit Kappa Zülpich Papier GmbH,1712: Manufacture of paper and paperboard,B_Industry,06-05-300-0079450,,6.65300591210981,50.7065918471057,0.432,,,,,,,,,,,,,
1141,Snoek & Vogel GbR,147: Raising of poultry,,03-88-45602440494,,6.73079582188435,52.5432205533046,,,,0.0136,,,,,,,,,,
1142,Solnhofer Portland-Zementwerke GmbH & Co. KG,2351: Manufacture of cement,3.c.i,06-09-577-0058-0001,,10.9976972878493,48.8849124578345,0.502,,,,,,,,,0.022,,,,
1143,Solvay & CPC Barium Strontium GmbH & Co KG,2059: Manufacture of other chemical products n.e.c.,B_Industry,07-01-599149,,7.31614847722136,50.5112102215321,,,,,,,1.17,,,,,,,
1144,Solvay Chemicals GmbH,2013: Manufacture of other inorganic basic chemicals,B_Industry,06-05-100-0989137,,6.5778890987794,51.5646646843319,2.495,1.905,,1.57,,,55.0,,,,,,,
1145,Solvay Fluor GmbH,2059: Manufacture of other chemical products n.e.c.,B_Industry,06-08-7047053,,9.17601659921726,49.2296562986708,,,,,,,,,,,,,,
1146,Sonae Arauco Beeskow GmbH,1621: Manufacture of veneer sheets and wood-based panels,B_Industry,12-30670890000,,14.2557528609744,52.1812612704417,,,2.064,,,0.1506,,,,,,,,
1147,"Sonae Arauco Deutschland AG, Werk Nettgau .",1621: Manufacture of veneer sheets and wood-based panels,B_Industry,13157,,10.9098490556232,52.6620204845304,0.286,,,,,0.395,,,,,,,,
1148,Sonae Arauco Deutschland GmbH Werk Meppen,1621: Manufacture of veneer sheets and wood-based panels,B_Industry,03-04-04041303780,,7.36315624794508,52.7071588186238,0.123,,0.38,,,,,,,,,,,
1149,Sophienhof Ferkel GmbH,146: Raising of swine/pigs,,03-84-45200900210,,7.25706455897349,53.6597353682609,,,,0.013,,,,,,,,,,
1150,Spenner GmbH & Co. KG,2351: Manufacture of cement,3.c.i,06-05-900-0255642,,8.33612642963734,51.6011207259531,1.02,,,0.0458,,,3.9,,,,,,,
1151,Spreenhagener Vermehrungsbetrieb für Legehennen GmbH,147: Raising of poultry,,12-50610000538,,13.5974372176673,52.2365381378269,,,,0.0468,,0.0602,,,,,,,,
1152,Spreenhagener Vermehrungsbetrieb für Legehennen GmbH,147: Raising of poultry,,12-50612380000,,13.6129031761043,52.218657463627,,,,0.0231,,,,,,,,,,
1153,Stadt Bielefeld Kläranlage (Bielefeld Brake),3700: Sewerage,J_Waste,06-05-700-0278814,,8.61428386060729,52.0670415276493,,,,,,,,,,,,,,
1154,Stadt Lübbecke Kläranlage (Lübbecke),3700: Sewerage,J_Waste,06-05-700-0348439,,8.620047919405,52.319096859837,,,,,,,,,,,,,,
1155,Stadt Paderborn -STEB- Stadtentwässerungsbetrieb Paderborn,3700: Sewerage,J_Waste,06-05-700-0238180,,8.6436031109489,51.7497465644101,,,,,,,,,,,,,,
1156,Stadtentwässerung Frankfurt am Main - Sindlingen,3700: Sewerage,J_Waste,06-00201010412,,8.52081330584499,50.0671252179204,,,,,,,,,,,,,,
1157,Stadtwerke Bielefeld GmbH,3511: Production of electricity,A_PublicPower,06-05-700-9073508,,8.61515460532281,51.9996571553641,,,,,,,,,,,,,,
1158,Stadtwerke Duisburg AG,3511: Production of electricity,A_PublicPower,06-05-100-0031758,,6.75076290596149,51.4290798147769,,,,,,,,,,,,,,
1159,Stadtwerke Duisburg AG,3511: Production of electricity,A_PublicPower,06-05-100-0229264,,6.74807002393149,51.3905093414076,0.136,,,,,,,,,,,,,
1160,Stadtwerke Düsseldorf AG,3511: Production of electricity,A_PublicPower,06-05-100-0167182,,6.72915097863114,51.2191044335569,0.62,,,,,,0.769,,,,,,,
1161,Stadtwerke Düsseldorf AG,3821: Treatment and disposal of non-hazardous waste,J_Waste,06-05-100-0407176,,6.82300187851179,51.2256732427172,0.357,,,,,,,,,,,,,
1162,Stadtwerke Erfurt / HKW Ost,3530: Steam and air conditioning supply,A_PublicPower,16-30-30400102003,,11.0401191723367,51.0172423170719,0.181,,,,,,,,,,,,,
1163,Stadtwerke Flensburg GmbH,3511: Production of electricity,A_PublicPower,01-50-01000004838,,9.43269578392638,54.8048545092916,0.392,0.416,,,,,,,,,,,,
1164,Stadtwerke Frankfurt (Oder) GmbH Stadtwerke Frankfurt (Oder) GmbH,3530: Steam and air conditioning supply,A_PublicPower,12-30532000000,,14.5315166401919,52.3182215367203,0.141,0.166,,,,,,,,,,,,
1165,Stadtwerke Leipzig GmbH,3511: Production of electricity,A_PublicPower,16725,,12.5699365772614,51.8708533262732,,,,,,,,,,,,,,
1166,"Stadtwerke Leipzig GmbH, HKW Leipzig",3530: Steam and air conditioning supply,A_PublicPower,14-80-55047380000,,12.3781626779252,51.3514417271002,,,,,,,,,,,,,,
1167,Stadtwerke Münster GmbH,3511: Production of electricity,A_PublicPower,06-05-500-0221194,,7.64051049088003,51.9502603783038,0.176,,,,,,,,,,,,,
1168,Stadtwerke Osnabrück AG Kläranlage Eversburg,3700: Sewerage,J_Waste,03-10-10100420010,,8.01813349734231,52.2982301429486,,,,,,,,,,,,,,
1169,Stadtwerke Rostock AG,3530: Steam and air conditioning supply,A_PublicPower,13-30-2102110,,12.0838301193717,54.1277766528551,,,,,,,,,,,,,,
1170,Stahlwerk Thüringen GmbH,2410: Manufacture of basic iron and steel and of ferro-alloys,B_Industry,16-86-74283520000,,11.4342877973921,50.6534956845769,0.46799999999999997,,,,,,3.81,0.8250000000000001,,,0.33899999999999997,0.54,,
1171,Statkraft Markets GmbH,3511: Production of electricity,A_PublicPower,06-05-300-9975553,,6.84716942373725,50.8616034826589,,,,,,,,,,,,,,
1172,Statkraft Markets GmbH (Biomasseheizkraftwerk Emden),3511: Production of electricity,J_Waste,03-04-04041762920,,7.20169769087539,53.3406807156755,0.127,,,,,,,,,,,,,
1173,Steag GmbH KW Lünen,3511: Production of electricity,A_PublicPower,06-05-900-0884101,,7.47814405518768,51.6159906755887,1.428,0.684,,,,,,,,,,,,
1174,Steffen Gellert,146: Raising of swine/pigs,,03-80-35900403320,,9.07841206381283,53.8201804078868,,,,0.0122,,,,,,,,,,
1175,"Stegemann, Lothar",146: Raising of swine/pigs,,06-05-500-0304283,,7.70604215214281,52.3467687028535,,,,0.0146,,,,,,,,,,
1176,Stora Enso Maxau GmbH,1712: Manufacture of paper and paperboard,B_Industry,06-08-2719142,,8.31325864943994,49.042576767134,0.295,,,,,,,,,,,,,
1177,Stora Enso Sachsen GmbH,1712: Manufacture of paper and paperboard,B_Industry,14-80-56918040000,,12.5913417810146,51.4646193059766,0.44399999999999995,,,,,,,,,,,,,
1178,"Storkebaum, Ansgar",146: Raising of swine/pigs,,06-05-558-0317058,,7.50271480918903,51.7698474253723,,,,0.029,,,,,,,,,,
1179,Storkower Geflügelmast GmbH,147: Raising of poultry,,12-30672930000,,13.9568946233025,52.2732139516708,,,,0.0175,,,,,,,,,,
1180,"Storm, Albert",146: Raising of swine/pigs,,06-05-566-9973534,,7.47101941074277,52.3136782846701,,,,0.0145,,,,,,,,,,
1181,"Städtische Werke, Kraftwerk Kassel",3511: Production of electricity,A_PublicPower,06-14600010611,,9.48333036898341,51.2792839383848,,,,,,,,,,,,,,
1182,Südpack Verpackungen GmbH & Co. KG,2222: Manufacture of plastic packing goods,E_Solvents,06-08-4540166,,9.96361485235234,48.0633008075767,,,0.269,,,,,,,,,,,
1183,"Südzucker AG Mannheim / Ochsenfurt, Werk Zeitz",1081: Manufacture of sugar,B_Industry,16873,,12.1100118833055,51.0489946167405,0.6000000000000001,0.948,,,,,,,,,,,,
1184,Südzucker AG Werk Offstein,1081: Manufacture of sugar,B_Industry,07-05-8153238,,8.2193107048388,49.6019689349813,,,,0.0268,,,,,,,,,,
1185,"Südzucker AG, Werk Brottewitz",1081: Manufacture of sugar,,12-40620420000,,13.223669658437,51.4601699346506,,0.302,,,,,,,,,,,,
1186,Südzucker Werk Ochsenfurt,1081: Manufacture of sugar,B_Industry,06-09-679-0057-0002,,10.0801583289279,49.6666365110085,0.212,,,,,,,,,,,,,
1187,Südzucker Werk Plattling,1081: Manufacture of sugar,B_Industry,06-09-271-0135-0001,,12.8827192432084,48.787619936182,0.302,,0.326,0.0352,,,,,,,,,,
1188,Südzucker Werk Rain,1081: Manufacture of sugar,B_Industry,06-09-779-0128-0016,,10.9099584302396,48.6989015254334,,,,0.021,,,,,,,,,,
1189,TOKAI ERFTCARBON GmbH,2399: Manufacture of other non-metallic mineral products n.e.c.,B_Industry,06-05-100-9000737,,6.61780328859359,51.0805778807571,,,,,,,1.838,,,,,,,
1190,TOTAL Raffinerie Mitteldeutschland GmbH (Raffinerie/POX),1920: Manufacture of refined petroleum products,B_Industry,17192,,12.0001179708506,51.2876432105941,0.619,1.47,0.223,,,,4.63,,,,,,,
1191,TRIMET Aluminium SE,2442: Aluminium production,B_Industry,06-05-100-0327911,,6.96816974780881,51.4900491737932,,3.36,,,,0.106,27.0,,,,,,,
1192,TRIMET Aluminium SE Niederlassung Voerde,2442: Aluminium production,B_Industry,06-05-100-0382786,,6.6154085570687,51.6255360467961,,1.7,,,,,15.7,,,,,,,
1193,"TRIMET Aluminium SE, Niederlassung Hamburg",2442: Aluminium production,B_Industry,06-02-B23204H000,,9.88720980155128,53.5123954805377,,2.46,,,,,18.32,,,,,,,
1194,TROMPETTER GUSS CHEMNITZ GmbH,2451: Casting of iron,B_Industry,14-61-49431220000,,12.9222234522793,50.8512362301504,,,,,,,,,,,,,,
1195,TSB Tiefdruck Schwann Bagel GmbH & Co. KG,1812: Other printing,E_Solvents,06-05-116-0330579,,6.47821104666653,51.2306292568945,,,0.531,,,,,,,,,,,
1196,TWS Thüringer Wärme Service GmbH,3511: Production of electricity,A_PublicPower,16-86-00300070000,,11.3286181533123,50.6862013717246,,,,,,,,,,,,,,
1197,"Tebbe, Heinrich",146: Raising of swine/pigs,,03-91-45903267600,,7.73776973903426,52.4383966458934,,,,0.0113,,,,,,,,,,
1198,Technische Betriebe Solingen Müllheizkraftwerk,3821: Treatment and disposal of non-hazardous waste,J_Waste,06-05-100-0171298,,7.07272028935283,51.1776316445637,0.124,,,,,,,,,,,,,
1199,Technow GbR,146: Raising of swine/pigs,,12-10700960000,,11.9264674994216,53.0368339671065,,,,0.011,,,,,,,,,,
1200,"Tegelmann, Monika",146: Raising of swine/pigs,,06-05-566-9978436,,7.63664581526348,52.327142971199,,,,0.0153,,,,,,,,,,
1201,"Teiner, Andreas",146: Raising of swine/pigs,,06-05-570-0230738,,7.84355310801756,51.8225287898059,,,,0.01,,,,,,,,,,
1202,Ten Kate GmbH & Co. KG,1041: Manufacture of oils and fats,B_Industry,03-04-04247430190,,7.51311739506228,52.8290061337312,,,,,,,,,,,,,,
1203,"Tenhagen, Hermann und Guido",146: Raising of swine/pigs,,06-05-554-0189243,,6.91096450608009,52.1549307012422,,,,0.0153,,,,,,,,,,
1204,Theodor Haseke,146: Raising of swine/pigs,,06-05-512-9965402,,6.90295982090482,51.6122670298487,,,,0.0142,,,,,,,,,,
1205,Thermal Conversion Compound Industriepark Höchst GmbH,3821: Treatment and disposal of non-hazardous waste,J_Waste,06-70007410412,,8.53683083730256,50.0884160346367,0.48,,,,,,,,,,,,,
1206,Thermische Abfallbehandlung Lauta GmbH & Co. oHG,3822: Treatment and disposal of hazardous waste,J_Waste,14-70-80350580000,,14.1120978412546,51.4504368722987,,,,,,,,,,,,,,
1207,Thijssen - Tierzucht GmbH ehem. Ferkelhof Pätzold,146: Raising of swine/pigs,,14-74-47368370000,,13.9886259322913,51.3536879366236,,,,0.011,,,,,,,,,,
1208,Thür. Qual.-fl. GmbH / Witzleben,146: Raising of swine/pigs,,16-81-41300000096,,11.1127167404873,50.8192376523211,,,,0.012,,,,,,,,,,
1209,Tieraufzucht und Mast GbR Vogelsang 2,146: Raising of swine/pigs,,13-30-917,,12.4289548104032,53.7492329715117,,,,0.0178,,,,,,,,,,
